fips,year,population,white_pct,hispanic_pct,black_pct
53037,2008,40015,0.9339747594652006,0.07192302886417594,0.008671748094464575
53037,2009,40466,0.9329560618791084,0.07450699352542875,0.008921069539860623
53037,2010,41028,0.9303158818367944,0.07736180169640246,0.009651945013161743
53039,2000,19204,0.9307956675692564,0.07873359716725682,0.0028119141845448863
53039,2001,19161,0.9307447419236992,0.07864933980481185,0.002870413861489484
53039,2002,19060,0.9318992654774396,0.08011542497376706,0.002938090241343127
53039,2003,19242,0.9330630911547656,0.08242386446315352,0.0032221182829227733
53039,2004,19232,0.9321443427620633,0.0867824459234609,0.0032757903494176374
53039,2005,19279,0.9339696042325847,0.09336583847709944,0.003838373359614088
53039,2006,19701,0.9337597076290544,0.0944114511953708,0.0035023602862798843
53039,2007,19898,0.9327570610111569,0.09799979897477133,0.0033671725801588098
53039,2008,20135,0.9326049168115222,0.10062080953563447,0.003923516265209833
53039,2009,20164,0.9344872049196588,0.10479071612775243,0.0037690934338424917
53039,2010,20378,0.9352242614584355,0.10702718618117578,0.004710962803022868
53041,2000,68596,0.9597644177503062,0.054143098722957604,0.004140183101055455
53041,2001,68934,0.9559868860069052,0.057518786085240955,0.0047436678562102885
53041,2002,69452,0.953824223924437,0.06077578759430974,0.00509704544145597
53041,2003,70366,0.9525907398459483,0.06386607168234659,0.005059261575192564
53041,2004,71021,0.9510708100421003,0.06641697526083834,0.005251967727855141
53041,2005,72060,0.9486538995281709,0.06908132112128781,0.005203996669442132
53041,2006,73318,0.9463160479009247,0.07348809296489266,0.005414768542513435
53041,2007,74229,0.9433375095986744,0.07734173975131013,0.005483032238074068
53041,2008,74899,0.9413610328575815,0.08204381900959959,0.005727713320605081
53041,2009,75316,0.9379547506505922,0.08460353709703118,0.005616336502204047
53041,2010,75487,0.9371812365042987,0.08666392888841787,0.005736087008359056
53043,2000,10143,0.9631272798974663,0.018534950211968847,0.0022675736961451248
53043,2001,10123,0.9628568606144423,0.02005334387039415,0.0022720537390101747
