fips,inc_2010
27075,46765
27077,46080
27079,57477
27081,44672
27083,46872
27085,58544
27087,38523
27089,48565
27091,43960
27093,51173
27095,45273
27097,47085
27099,44497
27101,45657
27103,57540
27105,43040
27107,41784
27109,64090
27111,43478
27113,44926
27115,43938
27117,40589
27119,47233
27121,47196
27123,51915
27125,47835
27127,44181
27129,47623
27131,58771
27133,45411
27135,49400
27137,44941
27139,82190
27141,71704
27143,51449
27145,51779
27147,55321
27149,47055
27151,41486
27153,42927
27155,41287
27157,51112
27159,34686
27161,50552
27163,79109
27165,44228
27167,48692
27169,44217
27171,67963
27173,50288
28001,27096
28003,32342
28005,27615
28007,28508
28009,29202
28011,26005
28013,28484
28015,29290
28017,30092
28019,30994
28021,24150
28023,29103
28025,31727
28027,24726
28029,36637
28031,32456
28033,59418
28035,34448
28037,33324
28039,45492
28041,40828
28043,32901
28045,44494
28047,45668
28049,39215
28051,21375
28053,25131
28055,21360
28057,37588
28059,47906
28061,30177
28063,24304
28065,25986
28067,36017
28069,25649
28071,39080
28073,48048
28075,33926
28077,35593
28079,31986
28081,39049
28083,22020
28085,38405
28087,37607
28089,59585
28091,31332
28093,34183
28095,35685
28097,31488
28099,34905
28101,36154
28103,22178
28105,30320
28107,34030
28109,40038
28111,38887
28113,30779
28115,38420
28117,31262
28119,24169
28121,54028
28123,35765
28125,30129
28127,36739
28129,37176
28131,43728
28133,25012
28135,24668
28137,41102
28139,32109
28141,30211
28143,29994
28145,35928
28147,33054
28149,40404
28151,27797
28153,31081
28155,34107
28157,28066
28159,30738
28161,29911
28163,27356
29001,31176
29003,52720
29005,42375
29007,40935
29009,36143
29011,39573
29013,38882
29015,33305
29017,33938
29019,45786
29021,42393
29023,33525
29025,39439
29027,49544
29029,44617
29031,44479
29033,41619
29035,28408
29037,60097
29039,32800
29041,41558
29043,51135
29045,38133
29047,58559
29049,51915
29051,53877
29053,42586
29055,34506
29057,32714
29059,38101
29061,39925
29063,43267
29065,36118
29067,30968
29069,29375
29071,49120
29073,40837
29075,35556
29077,41059
29079,35239
29081,35000
29083,35706
29085,28097
29087,40261
29089,42067
29091,35282
29093,29803
29095,46252
29097,37894
29099,56756
29101,44985
29103,33029
29105,37294
29107,48257
29109,38350
29111,40399
29113,52897
29115,37706
29117,39683
29119,36619
29121,36429
29123,33456
29125,40185
29127,40859
29129,34008
29131,35838
29133,29586
29135,47162
29137,38750
29139,39369
29141,36696
29143,32895
29145,41163
29147,38621
29149,26144
29151,45746
29153,31960
29155,30120
29157,45713
29159,37658
29161,40260
29163,42082
29165,65948
29167,35831
29169,43155
29171,34545
29173,45194
29175,36458
29177,53343
29179,32059
29181,29369
29183,70331
29185,32217
29186,46911
29187,38589
47159,43200
47161,40214
47163,39957
47165,54916
47167,49378
47169,44205
47171,34387
47173,30143
47175,29087
47177,34946
47179,41256
47181,34993
47183,32358
47185,33865
47187,87832
47189,60678
48001,40378
48003,48699
48005,39148
48007,42179
48009,50891
48011,60530
48013,42927
48015,53263
48017,42375
48019,44352
48021,51829
48023,33459
48025,40278
48027,48618
48029,47048
48031,46128
48033,58409
48035,45288
48037,42550
48039,65607
48041,37898
48043,35799
48045,34196
48047,19959
48049,38832
48051,43185
48053,48187
48055,41594
48057,43258
48059,44596
48061,31264
48063,36029
48065,56106
48067,36360
48069,35087
48071,66764
48073,36966
48075,42004
48077,50881
48079,37446
48081,38702
48083,26951
48085,80504
48087,39712
48089,41145
48091,64752
48093,35218
48095,49063
30087,44776
30089,30622
30091,39578
30093,37986
30095,57227
30097,43723
30099,39516
30101,42949
30103,37969
30105,42050
30107,30321
30109,40417
30111,48641
31001,44443
31003,37058
31005,43250
31007,34063
31009,39000
31011,40703
31013,44404
31015,34906
31017,28038
31019,47120
31021,43817
31023,44595
31025,62039
31027,40497
31029,38314
31031,43431
31033,49493
31035,42909
31037,48133
31039,44278
31041,42364
31043,43729
31045,34937
31047,41830
31049,37148
31051,42388
31053,42849
31055,51878
31057,37031
31059,43167
31061,37220
31063,42009
31065,37938
31067,43311
31069,32962
31071,38709
31073,41442
31075,39261
31077,41181
31079,46138
31081,50702
31083,44656
31085,45595
31087,35549
31089,43452
31091,38750
31093,45453
31095,42665
31097,42083
31099,54518
31101,42898
31103,32000
31105,42010
31107,36798
31109,50849
31111,45181
31113,45192
31115,34219
31117,50625
31119,44089
31121,46116
31123,37717
31125,41610
31127,42534
31129,31761
31131,47493
31133,41969
31135,47000
31137,45221
31139,48318
31141,49523
31143,48444
31145,41927
31147,35165
31149,39159
31151,45469
31153,68280
31155,57699
31157,39004
31159,55877
31161,33608
31163,38631
31165,42386
31167,47713
31169,39159
31171,48250
31173,39048
31175,38588
31177,61940
31179,45000
31181,38015
31183,37222
31185,47689
32001,51597
32003,56258
32005,60721
32007,67038
32009,39712
32011,61400
32013,55656
32015,66525
32017,44695
32019,48433
32021,35446
32023,41181
32027,56491
32029,61525
32031,55658
32033,48545
32510,52067
33001,54929
33003,49897
33005,53828
33007,41534
33009,53075
33011,69321
33013,63012
33015,75825
33017,57809
33019,50689
34001,54766
34003,81708
34005,76258
34007,60976
34009,54292
34011,50651
34013,55125
34015,72664
34017,55275
34019,100980
34021,71217
34023,77615
34025,82265
34027,96747
34029,59620
34031,54944
34033,59441
34035,97440
34037,83089
34039,66791
34041,71364
35001,47481
35003,31914
35005,37524
35006,37361
35007,39216
35009,38090
35011,30643
35013,36657
35015,46583
35017,36591
35019,28488
35021,33750
35023,36733
35025,43910
35027,43750
35028,103643
35029,27997
35031,31335
35033,37784
35035,39615
35037,28773
35039,41437
35041,37762
35043,57158
35045,46189
35047,32213
35049,52696
35051,25583
35053,33284
35055,35441
35057,37117
35059,39975
35061,42044
36001,56090
36003,41305
36005,34264
36007,44457
36009,42466
36011,48415
36013,40639
36015,44502
36017,43943
36019,47489
36021,55546
36023,45338
36025,42967
36027,69838
36029,47372
36031,45216
36033,42050
36035,43240
36037,49750
36039,46235
36041,49557
36043,42318
36045,43410
36047,43567
36049,42846
36051,51690
36053,53345
36055,51303
36057,42603
36059,93613
36061,64971
36063,45964
36065,46708
36067,50676
36069,56468
36071,69523
36073,48063
36075,45333
